,below_c_rate,pre_1930_pct,mid_1930_1990_pct,post_1990_pct,house_pct,bungalow_pct,flat_maisonette_pct,park_home_pct,detached_pct,semi_detached_pct,terraced_pct,median_floor_area,mains_gas_pct,electric_fuel_pct,other_fuel_pct,owner_occupied_pct,shared_ownership_pct,social_rented_pct,private_rented_pct,rent_free_pct,imd_score
terraced_pct,2.3437894285741758e-45,1.3585063312498583e-84,6.723210615090239e-115,1.2116272446281725e-08,7.543648586153087e-22,7.398865416272498e-87,3.55835931641634e-99,0.1556004649610443,4.227282057006209e-173,0.0,0.0,8.828118752501759e-138,1.5644319923341354e-46,1.0854352428737512e-50,0.42790166130681967,2.5604732292284944e-256,5.85761693714125e-07,9.549472303030871e-111,3.215657305797144e-242,5.115233997623782e-46,5.261420484301857e-208
median_floor_area,9.21847330524856e-89,0.07938954196054547,3.865963950724572e-17,6.169774679712842e-16,1.9775967008322535e-89,3.9366448982976973e-35,5.266025321350707e-147,0.7405822414520234,6.08710120703635e-76,1.7870976266397603e-34,8.828118752501759e-138,0.0,1.1685068205606207e-51,2.5639528571025973e-58,0.0003785493239072595,2.1261562780081688e-240,2.098672735028353e-06,8.599783000010203e-123,5.522078731131374e-119,5.359680024099703e-44,1.0199605516654791e-143
mains_gas_pct,4.83351540102757e-14,9.633833959428639e-15,3.7162580437595927e-63,2.79284479174661e-49,4.348682142785425e-146,1.2585395217647742e-38,6.414824797098191e-211,0.028413167472420092,0.14506504985261906,5.69013413130121e-41,1.5644319923341354e-46,1.1685068205606653e-51,0.0,0.0,1.387379757162768e-06,4.662733091385947e-36,6.425005618101611e-05,0.011402889958625772,5.629799786779211e-92,0.38537176096224396,0.004822537439701826
electric_fuel_pct,9.406937153231175e-16,4.7180795127490704e-14,2.286489070663888e-63,1.0858324762196636e-50,2.0798858738815097e-148,4.744068837385579e-45,1.9858649704998258e-229,0.13221180188233964,0.006652290689799459,3.857561763712836e-39,1.0854352428737512e-50,2.5639528571025973e-58,0.0,0.0,0.8666340375863769,6.542681669677082e-42,1.6286212439098532e-05,0.0007764561197535345,2.5692943969189853e-101,0.18267446752314426,0.000496752809216452
other_fuel_pct,5.646483766553387e-09,2.326247642417653e-08,0.30069137950603503,0.013228777360014977,0.27904808795250075,8.417714783629237e-09,5.9201564016119505e-05,0.00028047494943744583,3.5224163632579966e-05,0.0872847786190177,0.4279016613068195,0.00037854932390725957,1.3873797571627724e-06,0.8666340375863769,0.0,7.351197818813407e-09,0.17089445425316427,6.800865093935789e-07,0.4660471680396381,0.028241417554273267,0.05704709978223727
owner_occupied_pct,1.0684378965282212e-179,0.00014738000245502836,9.045264145878167e-29,3.9603922223181435e-12,1.8929270898501318e-63,1.1733557439849372e-103,5.428142092234197e-184,0.8164114123739089,3.182362174886265e-170,1.2105675006456956e-69,2.5604732292284944e-256,2.1261562780070222e-240,4.662733091385947e-36,6.542681669676634e-42,7.351197818813461e-09,0.0,4.27217410433997e-11,0.0,1.8654335491831602e-145,7.315412696212762e-128,0.0
shared_ownership_pct,6.950224620456146e-09,0.10852718043182258,2.0496809613290012e-05,1.1926316178132152e-05,3.7198166065950195e-05,1.4652740494241184e-09,3.5781858652861517e-12,0.373028809242275,0.0001921561623012113,0.04729887486641796,5.85761693714125e-07,2.098672735028353e-06,6.425005618101611e-05,1.6286212439098576e-05,0.17089445425316427,4.27217410433997e-11,0.0,1.434688301601823e-06,7.013483830270858e-07,0.07845584570987645,0.00012590964652511573
social_rented_pct,1.0268610818205992e-150,0.06907801663014176,0.0194431995150584,0.6186423716593915,8.389996923604375e-27,3.787439833164368e-24,2.3491435293613142e-81,0.7178677760725163,1.5785183868109506e-130,1.0235589906102801e-14,9.549472303030871e-111,8.599783000010203e-123,0.011402889958625761,0.0007764561197535345,6.800865093935789e-07,0.0,1.434688301601823e-06,0.0,8.066469334528089e-14,6.535975259019838e-174,0.0
private_rented_pct,1.0973076224431916e-16,3.470865861897688e-133,2.651820292243982e-253,4.67323587947346e-30,3.242508469877068e-20,2.3203694655115684e-143,9.24066187724685e-97,0.026516692317415238,8.510057757909225e-79,2.2455514518116395e-101,3.215657305797144e-242,5.522078731131374e-119,5.629799786779211e-92,2.5692943969189853e-101,0.4660471680396381,1.8654335491831602e-145,7.013483830270814e-07,8.066469334528089e-14,0.0,3.1933790568900713e-09,3.403702306295419e-63
rent_free_pct,3.7357781102068117e-51,0.26318793844063604,0.5128333702194129,0.14093302055590204,2.898595773238051e-06,0.00041599458298091066,2.9994542084107616e-17,0.9725213985729823,6.681813343868862e-55,1.6680687195926366e-09,5.115233997623782e-46,5.359680024099326e-44,0.38537176096224396,0.18267446752314423,0.028241417554273267,7.315412696212762e-128,0.07845584570987645,6.535975259019839e-174,3.1933790568900713e-09,0.0,3.598486133791828e-178
imd_score,2.4354557772517533e-82,1.624650716494301e-11,0.00015729990090625404,0.025331714652252098,1.1191203817319329e-07,2.2270769543590164e-33,9.601643616342406e-46,0.4435743686738761,3.4835383234652135e-230,7.80710465764915e-37,5.261420484300123e-208,1.0199605516654791e-143,0.004822537439701835,0.0004967528092164543,0.05704709978223723,0.0,0.00012590964652511573,0.0,3.403702306295419e-63,3.598486133790734e-178,0.0
