scenario,fold,held_out_lad,n,r2,mae,rmse
mean_epc_score_outcome,4,Oldham,142,0.6797840672509526,1.40783482436829,1.8702303641591276
mean_epc_score_outcome,5,Rochdale,135,0.6159263078206332,1.5704338806307705,2.030873672960905
mean_epc_score_outcome,6,Salford,161,0.6772005686316193,2.034806576246524,2.7355754041043734
mean_epc_score_outcome,7,Stockport,191,0.6252063440385425,1.4317119034571784,2.032614791766094
mean_epc_score_outcome,8,Tameside,142,0.6959410390878247,1.2956762686955525,1.792275118067955
mean_epc_score_outcome,9,Trafford,139,0.7037347881899791,1.5034379798970359,1.9755248629546804
mean_epc_score_outcome,10,Wigan,200,0.6527347696654153,1.73826834906624,2.3860846574182766
expanded_complete_categories,1,Bolton,177,0.7409879477839652,5.543676401127415,7.047892521314219
expanded_complete_categories,2,Bury,120,0.5727564877505935,6.219255864301781,8.285553852070061
expanded_complete_categories,3,Manchester,295,0.8213784509138354,6.327058510935443,8.074569627144621
expanded_complete_categories,4,Oldham,142,0.6996163538625415,5.653133113809093,7.423035148960761
expanded_complete_categories,5,Rochdale,135,0.6156913409539768,6.811080534488396,8.586598918774138
expanded_complete_categories,6,Salford,161,0.7250702593851562,7.474741958346586,9.542206593673416
expanded_complete_categories,7,Stockport,191,0.6676108520818993,6.23029539640241,8.01455959186757
expanded_complete_categories,8,Tameside,142,0.7428953064350121,5.4558106166203775,7.524989259940184
expanded_complete_categories,9,Trafford,139,0.6218832293572011,7.285560371092832,9.368669869810585
expanded_complete_categories,10,Wigan,200,0.711901973225703,6.39241333469437,8.25694844588133
